"Sex","LonR_fold","W.Hnd"
"Female",0,"Right"
"Male",0,"Left"
"Male",1,"Right"
"Male",0,"Right"
"Female",1,"Right"
"Male",1,"Right"
"Female",0,"Right"
"Male",0,"Right"
"Male",0,"Right"
"Female",1,"Right"
"Male",0,"Right"
"Female",1,"Right"
"Female",1,"Right"
"Male",0,"Right"
"Female",0,"Right"
"Female",1,"Right"
"Male",0,"Left"
"Male",1,"Right"
"Male",0,"Right"
"Male",0,"Right"
"Male",1,"Right"
"Male",1,"Right"
"Male",0,"Right"
"Female",0,"Right"
"Male",0,"Right"
"Male",0,"Right"
"Male",1,"Right"
"Male",1,"Right"
"Female",0,"Right"
"Male",1,"Right"
"Female",0,"Right"
"Male",0,"Right"
"Male",1,"Right"
"Male",1,"Right"
"Female",1,"Right"
"Male",0,"Right"
"Male",0,"Right"
"Male",0,"Right"
"Female",1,"Right"
"Female",0,"Right"
"Male",0,"Right"
"Female",1,"Right"
"Male",0,"Right"
"Male",1,"Right"
"Male",0,"Right"
"Female",0,"Right"
"Female",0,"Right"
"Male",0,"Left"
"Male",1,"Right"
"Male",1,"Right"
"Male",1,"Right"
"Male",0,"Right"
"Male",1,"Right"
"Female",0,"Right"
"Male",0,"Right"
"Male",1,"Right"
"Male",1,"Left"
"Male",0,"Right"
"Female",0,"Right"
"Female",1,"Right"
"Female",1,"Left"
"Female",1,"Right"
"Female",1,"Right"
"Female",0,"Right"
"Male",1,"Right"
"Male",1,"Right"
"Female",1,"Right"
"Male",0,"Right"
"Female",0,"Right"
"Female",1,"Right"
"Female",0,"Right"
"Female",1,"Right"
"Female",1,"Right"
"Female",0,"Right"
"Male",1,"Right"
"Male",0,"Left"
"Male",0,"Right"
"Female",0,"Right"
"Female",0,"Right"
"Male",1,"Right"
"Female",0,"Right"
"Female",1,"Right"
"Female",0,"Right"
"Female",0,"Left"
"Male",0,"Right"
"Female",1,"Right"
"Female",0,"Right"
"Male",0,"Right"
"Female",1,"Right"
"Male",0,"Right"
"Female",0,"Right"
"Female",0,"Right"
"Male",0,"Right"
"Male",1,"Right"
"Female",0,"Right"
"Female",0,"Right"
"Female",0,"Right"
"Female",0,"Right"
"Female",0,"Right"
"Male",1,"Right"
"Male",0,"Right"
"Female",0,"Right"
"Male",1,"Right"
"Female",0,"Right"
"Male",0,"Right"
"Female",1,"Right"
"Female",1,"Right"
"Female",0,"Right"
"Male",1,"Left"
"Female",1,"Left"
"Male",1,"Right"
"Male",0,"Right"
"Male",1,"Right"
"Female",0,"Right"
"Male",1,"Left"
"Male",1,"Right"
"Male",0,"Right"
"Female",0,"Right"
"Male",1,"Right"
"Female",0,"Right"
"Female",1,"Right"
"Male",0,"Right"
"Male",1,"Right"
"Female",0,"Right"
"Female",1,"Left"
"Male",0,"Right"
"Male",1,"Right"
"Male",1,"Right"
"Male",1,"Right"
"Female",1,"Right"
"Female",0,"Right"
"Female",0,"Right"
"Female",0,"Right"
"Male",1,"Right"
"Female",0,"Left"
"Male",0,"Right"
"Male",1,"Right"
"Male",0,"Right"
"Female",1,"Right"
"Female",0,"Right"
"Male",0,"Right"
"Female",1,"Right"
"Female",1,"Right"
"Male",0,"Right"
"Male",1,"Right"
"Male",0,"Right"
"Male",1,"Right"
"Female",1,"Right"
"Male",0,"Right"
"Male",1,"Right"
"Female",0,"Right"
"Male",1,"Right"
"Female",0,"Right"
"Female",0,"Right"
"Female",0,"Right"
"Female",1,"Right"
"Male",1,"Right"
"Male",0,"Right"
"Female",1,"Right"
"Male",1,"Left"
"Female",0,"Right"
"Female",0,"Right"
"Female",1,"Left"
"Female",1,"Right"
"Female",0,"Right"
"Female",0,"Right"
"Male",0,"Right"
"Female",0,"Right"
"Female",1,"Right"
"Male",1,"Right"
"Male",0,"Right"
"Female",1,"Right"
"Male",0,"Right"
"Male",0,"Right"
"Male",0,"Right"
"Male",1,"Right"
"Male",0,"Right"
"Female",1,"Right"
"Female",1,"Right"
"Female",0,"Right"
"Female",0,"Right"
"Female",0,"Right"
"Female",0,"Right"
"Male",1,"Right"
"Female",0,"Right"
"Male",0,"Right"
"Female",0,"Right"
"Female",1,"Right"
"Male",0,"Right"
"Male",1,"Left"
"Female",0,"Right"
"Female",1,"Right"
"Female",0,"Left"
"Male",0,"Right"
"Male",0,"Right"
"Female",1,"Right"
"Female",1,"Right"
"Male",0,"Right"
"Female",1,"Right"
"Male",1,"Right"
"Male",1,"Right"
"Female",0,"Right"
"Female",0,"Right"
"Female",1,"Right"
"Female",1,"Right"
"Female",0,"Right"
"Female",0,"Right"
"Male",1,"Right"
"Female",1,"Right"
"Male",1,"Right"
"Female",0,"Right"
"Male",0,"Right"
"Female",1,"Right"
"Female",1,"Right"
"Female",0,"Right"
"Male",0,"Right"
"Female",0,"Right"
